position_0,position_1,position_2
-0.00271702,-0.0130748,0.000936094
-0.00148737,-0.0132663,0.000499771
-6.53189e-05,-0.0133391,0.000499771
0.00109023,-0.0133051,0.000499425
0.00208385,-0.0131878,0.000499226
-0.00467509,-0.0125049,0.000750191
-0.00304814,-0.0122428,0.000497377
-0.0037421,-0.0128171,0.000925791
-0.00207201,-0.0124547,0.000497166
-0.00077354,-0.0125214,0.000496916
0.000463832,-0.0123678,0.000499771
0.00165021,-0.0122889,0.000497974
0.00262605,-0.0120629,0.000499771
0.00306426,-0.0129933,0.000498509
0.00402487,-0.0127292,0.000569313
0.00496364,-0.0123948,0.000499333
-0.00705803,-0.0110975,0.000498611
-0.00631332,-0.0117635,0.000499177
-0.0051509,-0.0116627,0.000499275
-0.00415017,-0.0116722,0.000499771
-0.00321824,-0.0112603,0.000497794
-0.00220802,-0.0114651,0.000498126
-0.00111247,-0.0115709,0.00049972
-1.62801e-05,-0.0111194,0.000495553
0.000971948,-0.0114857,0.000499771
0.0018787,-0.0114364,0.000965217
0.00270506,-0.0110311,0.000497653
0.00359925,-0.0117917,0.000499771
0.0045669,-0.0114791,0.000499814
0.00585441,-0.0119438,0.000496752
0.00712125,-0.011293,0.000498981
-0.00800316,-0.0106568,0.000499107
-0.00884555,-0.0100004,0.000498934
-0.00634366,-0.0100632,0.000540091
-0.00578849,-0.0108932,0.00049931
-0.00393636,-0.0105684,0.000496981
-0.00258545,-0.0104898,0.000498932
-0.00166552,-0.0106911,0.000828405
-0.000756328,-0.0104483,0.000497805
0.0008485,-0.0103482,0.000497167
0.00182695,-0.0105552,0.000498552
0.00385336,-0.0107815,0.000497201
0.00482111,-0.0105111,0.000498702
0.00588137,-0.0100614,0.000990127
0.00603258,-0.0109187,0.000498969
0.00714392,-0.0102944,0.000500712
0.00814073,-0.0105812,0.000497874
-0.00811346,-0.00947668,0.000930544
-0.00733012,-0.00991775,0.000498227
-0.00681216,-0.00906289,0.000498114
-0.00535252,-0.00995241,0.000497627
-0.00397672,-0.00925761,0.000984041
-0.00326052,-0.009755,0.000498198
-0.00236949,-0.00927614,0.000499589
-0.00143887,-0.00973424,0.000652529
5.83915e-06,-0.00984061,0.000706051
0.000861646,-0.00903119,0.000760715
0.00152423,-0.00974129,0.000988983
0.00290361,-0.00975584,0.000499146
0.00213135,-0.00912242,0.0004974
0.00409372,-0.00916621,0.000497518
0.00538422,-0.00911924,0.000497708
0.0063995,-0.00936397,0.000497036
0.00741008,-0.00933202,0.000498177
0.0084068,-0.00939826,0.000499518
0.00940229,-0.0094797,0.000499001
-0.0102057,-0.00860769,0.000499777
-0.00933817,-0.00811274,0.000497902
-0.00886808,-0.00899291,0.000495832
-0.00808578,-0.00836663,0.000499628
-0.00575894,-0.00889945,0.000498092
-0.0051805,-0.00801569,0.000788093
-0.00476047,-0.00887452,0.000498132
-0.00403812,-0.00822675,0.00073678
-0.00322101,-0.008752,0.000499734
-0.00234142,-0.00827634,0.000499722
-0.00108404,-0.00881346,0.000497309
-8.67857e-05,-0.00886904,0.000497203
0.00146328,-0.00827835,0.000498367
0.00301823,-0.00866587,0.000496402
0.00423399,-0.00810958,0.000499771
0.00700489,-0.0084791,0.000819522
0.00808686,-0.00842999,0.000497148
0.00963003,-0.00850828,0.000497382
0.0105668,-0.00816035,0.000498851
-0.010836,-0.0078012,0.000497404
-0.00812739,-0.00736777,0.000499538
-0.00709766,-0.00770349,0.000497604
-0.00613599,-0.00797408,0.000499222
-0.00561177,-0.0071195,0.000499145
-0.00461892,-0.00724258,0.000497214
